iter	Passed	Remaining
0	1	141
1	2	145
2	3	128
3	4	114
4	5	110
5	6	106
6	7	104
7	8	102
8	10	101
9	11	99
10	12	101
11	13	100
12	14	100
13	16	99
14	17	98
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	92
21	26	92
22	27	91
23	28	91
24	30	90
25	31	89
26	32	88
27	33	87
28	35	86
29	36	84
30	37	83
31	38	82
32	39	80
33	41	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	57	65
47	58	63
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	66	56
54	66	54
55	67	53
56	70	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	46
62	77	45
63	78	44
64	79	42
65	81	41
66	83	40
67	84	39
68	85	38
69	86	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	94	29
76	95	28
77	96	27
78	97	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
